,age,job,marital,education,default,balance,housing,loan
23807,33,7,1,1,0,28,0,0
17848,56,7,0,1,0,1007,0,0
21220,57,5,1,1,0,2774,0,0
32970,39,7,1,1,0,946,1,0
36192,42,9,2,1,0,-853,1,0
26090,31,4,2,2,0,8436,1,0
29875,31,9,2,2,0,454,0,0
21106,48,4,2,2,0,4558,0,0
39374,45,0,1,1,0,6971,0,0
37628,37,4,2,2,0,833,1,0
45042,64,5,1,1,0,466,1,0
31459,32,9,2,2,0,392,1,0
22208,50,4,1,2,0,0,0,0
41386,37,2,1,2,0,310,0,0
39198,24,7,2,1,0,1299,1,1
33171,28,10,1,1,0,1,0,0
27716,41,9,1,1,0,0,1,0
42335,78,5,1,2,0,1204,0,0
23253,32,4,2,2,0,0,0,0
27607,52,2,1,2,0,2309,0,1
630,56,0,0,3,0,4246,1,0
31231,27,8,2,1,0,1177,0,0
17904,47,0,2,1,0,-874,1,0
18269,43,0,1,1,0,1996,0,1
4528,35,0,1,1,0,-130,1,0
929,33,0,1,1,0,44,1,1
28873,41,1,0,1,0,-333,1,0
4910,34,4,2,2,0,0,1,0
25351,40,4,2,1,0,9916,0,0
5243,43,9,2,2,0,4243,1,0
5924,27,9,2,1,0,1693,1,0
23402,39,4,2,2,0,5976,0,0
34480,36,1,2,1,0,767,1,0
24559,38,1,2,1,0,1012,1,1
38549,27,6,2,2,0,362,1,0
19291,40,4,2,2,0,0,0,0
10957,35,1,1,3,0,53,0,0
3725,44,3,1,0,1,-972,1,1
28420,33,9,0,3,0,1279,1,0
16188,34,1,1,1,0,1650,1,1
44505,22,6,2,1,0,2138,0,1
17381,41,3,1,1,0,0,1,0
42320,30,0,1,2,0,42,1,1
15980,38,9,1,1,0,0,1,0
32971,47,1,0,1,0,3823,1,1
26832,35,7,2,1,0,7242,0,0
22945,58,5,1,0,0,1,0,0
19156,45,7,1,1,0,0,0,0
18119,46,5,1,1,0,119,0,1
10924,56,4,0,1,0,278,1,0
2352,45,1,1,0,0,323,1,0
37357,35,4,2,2,0,1396,1,0
15588,31,9,1,1,0,1951,1,0
33215,28,6,2,2,0,222,1,0
44484,28,4,2,2,0,6791,0,0
29738,60,9,1,0,0,4243,1,0
37746,43,9,2,1,0,214,1,0
25885,57,9,1,1,0,6164,0,0
14731,40,7,1,1,0,884,0,0
386,57,9,1,3,0,345,1,0
35521,33,1,1,0,0,50,1,0
41741,57,3,2,1,0,254,0,0
5209,35,4,2,2,0,3137,1,0
44099,28,4,2,2,1,1414,1,0
14119,38,2,1,0,0,-21,1,0
20318,30,9,2,2,0,2784,0,0
21265,45,1,1,0,0,185,0,0
38244,39,1,0,1,1,-202,1,1
35098,46,1,1,1,0,-1400,1,0
44903,38,7,1,1,0,2678,0,0
5260,34,1,1,0,0,2490,1,0
16179,31,0,1,1,0,-241,1,0
43107,45,4,2,2,0,483,0,0
30455,58,9,1,1,0,0,1,0
8850,39,1,1,0,0,295,1,0
5545,31,6,1,0,0,1074,1,0
393,27,0,1,1,0,4,1,0
4869,31,1,1,1,0,1914,1,0
17687,46,2,1,1,0,0,0,0
43896,83,5,1,2,0,4761,0,0
41837,74,5,1,0,0,279,0,0
8762,29,0,2,1,0,-309,1,1
6445,34,4,1,1,0,-311,1,0
19697,33,4,2,2,0,605,0,0
22645,50,7,1,1,0,26394,0,0
34615,35,7,2,1,0,1239,1,0
45087,31,9,2,1,0,845,1,0
35643,44,2,1,0,0,5039,0,0
10183,48,0,1,1,0,155,0,0
2788,46,1,1,0,0,0,1,0
27459,37,4,1,2,0,2951,0,0
31338,61,4,1,2,0,5157,0,0
41929,35,9,2,1,0,70,1,0
31927,37,9,2,1,0,1590,1,0
43893,80,5,1,1,0,8304,0,0
32651,55,7,1,1,0,2990,1,0
32235,37,4,2,2,0,-670,1,0
44351,39,2,1,1,0,689,0,0
1441,22,9,2,1,0,54,1,1
36150,36,6,1,1,0,0,1,0
18147,43,3,1,0,0,410,1,1
27225,44,1,1,3,0,1149,1,0
5926,29,8,2,2,0,0,0,0
3907,60,5,1,0,0,458,1,0
10903,53,9,0,1,0,305,0,1
36311,43,7,1,1,0,216,1,1
8996,59,5,1,1,0,56,0,0
10168,58,11,1,3,0,0,0,0
34107,34,4,1,2,0,0,1,0
32306,37,9,1,1,0,952,1,0
34921,36,4,2,2,0,7506,1,0
1892,31,1,1,1,0,4471,1,0
38515,49,1,1,1,0,1230,1,1
42954,18,8,2,3,0,108,0,0
28506,40,4,2,2,0,732,0,0
38031,51,6,1,1,0,421,1,0
1312,31,4,2,2,0,1315,1,0
43015,29,9,2,1,0,113,0,0
20066,36,11,1,1,0,179,0,0
27288,34,8,1,2,0,3037,1,0
12741,40,1,1,0,0,254,1,0
16832,41,7,0,1,0,1838,1,1
7570,30,1,1,0,0,-430,1,0
43699,37,4,1,2,0,2987,1,0
5494,33,1,1,1,0,1541,1,0
4331,46,9,0,3,0,103,0,0
35480,36,0,0,1,0,181,1,0
1733,26,7,2,1,0,302,1,0
40714,37,9,1,1,0,318,0,0
39063,42,6,0,1,0,35,1,1
14514,58,1,1,1,0,928,0,0
34267,36,4,2,2,0,1876,0,0
34439,27,7,2,1,0,-72,1,0
1054,36,1,1,0,0,-20,1,0
12963,49,6,2,1,0,766,1,0
5180,38,1,2,0,0,-5,1,0
31385,41,4,2,2,0,120,0,1
31813,50,9,2,1,0,-97,1,0
36872,35,0,1,1,0,2321,1,0
44308,41,5,2,0,0,2579,0,0
34275,32,9,1,1,0,282,1,0
25045,50,1,0,0,0,155,1,1
2075,59,5,0,0,0,121,1,0
37500,42,7,1,1,0,108,1,1
21375,32,4,1,2,0,1969,0,0
38971,32,4,2,2,0,229,1,0
14692,31,1,1,0,0,0,1,0
14829,44,1,1,0,0,1265,1,0
1059,36,7,2,1,0,174,1,0
33211,35,9,2,2,0,122,0,0
28230,32,9,2,1,0,283,1,0
4870,34,7,1,1,0,1270,1,0
15558,44,0,0,1,0,4842,0,0
9875,46,3,1,0,0,75,0,0
11159,50,3,1,1,0,0,0,0
31645,35,9,1,1,0,0,1,0
23628,33,9,2,1,0,111,0,0
31484,49,0,1,0,0,686,1,1
41599,71,5,1,0,0,4847,0,0
8111,33,4,0,2,0,166,1,0
22694,49,0,1,1,0,635,0,0
4771,39,1,1,0,0,5,1,0
4143,32,9,1,3,0,1879,0,0
29060,47,2,1,1,0,583,1,0
27151,41,4,1,1,0,23,0,1
5512,43,0,2,1,0,-495,1,1
3571,32,7,2,1,0,772,1,0
33727,39,0,2,1,0,720,1,0
2675,33,4,1,1,0,-15,1,0
44682,41,3,1,0,0,379,0,1
31407,28,0,2,1,0,1277,0,0
9131,45,1,1,0,0,1227,0,0
18626,53,5,1,2,0,-22,1,0
17845,56,11,1,3,0,1032,0,0
21423,35,4,0,2,0,771,1,1
8804,28,7,2,1,0,2385,1,0
2554,28,9,2,1,0,26765,0,0
3486,47,4,0,2,0,10399,1,0
37056,37,7,1,1,0,393,1,1
21768,38,4,1,2,0,0,0,0
5045,39,7,1,1,0,0,1,1
27565,43,9,1,2,0,6673,1,0
27064,43,1,1,1,0,-128,1,0
25137,35,4,2,2,0,2928,1,0
38671,36,0,1,1,0,2278,1,0
36736,39,4,2,2,0,202,1,0
12649,37,6,0,2,0,60,0,1
2721,33,1,1,1,0,152,1,0
11478,38,1,1,0,0,2322,0,0
16493,47,1,1,1,0,1110,1,0
43044,30,10,2,1,0,2424,0,0
21223,33,6,1,1,0,0,0,0
7896,31,9,2,1,0,1771,1,0
20999,54,7,1,1,0,131,0,0
30886,31,6,2,2,0,1815,0,0
43494,35,0,1,2,0,690,0,0
24376,45,4,1,2,0,77,1,0
32317,46,7,1,1,0,1550,1,0
5601,31,7,1,1,0,309,1,0
9401,60,9,1,2,0,0,0,0
505,45,1,1,0,0,1297,1,0
7860,50,0,2,1,0,692,1,0
22949,32,9,0,1,0,409,0,1
1305,40,9,1,1,0,697,1,0
16075,57,9,1,1,0,272,0,1
18145,44,6,2,1,0,0,0,0
29564,46,4,1,2,0,-319,1,0
38498,26,1,2,0,0,17,1,0
3654,43,4,2,1,0,-228,1,1
33717,67,5,2,2,0,2144,0,0
39055,29,4,2,2,0,797,1,0
738,55,5,1,1,0,143,1,0
19678,52,4,0,2,0,-803,1,0
42203,47,0,1,1,0,0,0,0
37555,55,2,0,2,0,903,1,0
11726,53,1,1,1,0,1777,1,0
559,42,9,1,1,0,315,1,0
19469,37,4,1,2,0,649,0,0
838,35,1,2,3,1,-532,1,0
38819,36,0,2,1,0,507,1,0
22920,42,4,1,2,0,295,1,0
39176,54,5,0,1,0,451,0,1
28025,42,6,1,1,0,399,0,0
16078,55,4,0,2,0,3092,1,0
11440,40,10,2,0,0,5613,1,0
42317,21,8,2,1,0,347,0,0
9744,42,4,1,0,0,0,0,0
36458,47,0,2,1,0,3957,1,0
3750,38,1,2,3,0,1146,1,0
25435,34,2,1,1,0,1368,1,0
4571,29,7,2,1,0,0,1,0
35212,27,7,1,1,0,58,1,0
14533,43,4,1,2,0,254,1,1
23950,33,3,2,2,0,1255,0,0
15932,47,0,1,1,0,290,1,0
23204,59,5,1,1,0,2396,0,0
14519,59,4,1,2,0,296,0,1
21659,51,1,1,1,0,950,0,0
37287,34,1,1,1,0,7063,1,0
2356,24,9,2,1,0,-126,1,1
28463,57,10,1,3,0,381,0,0
37029,46,1,1,0,0,512,0,0
17379,59,3,1,0,0,88,1,0
10087,59,4,1,2,0,1574,0,0
15781,31,1,1,1,0,-596,1,0
25213,34,1,1,0,0,500,1,0
1918,32,7,1,1,0,59,1,1
26828,51,1,1,0,0,5206,1,0
25753,51,4,1,2,0,94,1,0
1363,37,9,2,2,0,31,1,0
11666,57,11,1,3,0,2266,0,0
42647,24,8,2,1,0,3176,0,0
44280,26,8,2,1,0,3090,0,0
42807,26,0,2,1,0,338,0,0
34653,45,0,1,1,0,251,1,0
9926,42,0,1,1,0,1030,0,0
39166,27,1,2,1,0,240,1,0
16309,31,1,1,1,0,0,0,0
22262,57,9,1,2,0,0,0,0
39462,35,0,1,1,0,514,1,0
6082,37,2,1,1,0,35,1,1
9763,46,3,0,1,0,154,0,0
28266,35,10,2,2,0,4959,0,0
5910,42,1,1,3,0,0,0,0
2749,38,4,0,2,0,547,1,0
7737,37,9,2,1,0,786,1,0
42407,29,3,2,2,0,19,0,0
11973,33,11,1,2,0,0,1,0
41370,34,1,2,1,0,869,0,0
5888,34,4,1,2,0,2287,1,0
28302,38,0,0,1,0,478,0,0
29004,49,6,1,1,0,289,1,0
40426,29,9,2,2,0,1891,0,0
7595,40,1,1,1,0,737,1,0
23844,48,4,0,2,0,700,1,0
28567,36,2,1,1,0,0,1,0
44229,60,0,1,3,0,478,0,0
23625,34,9,1,1,0,0,0,0
25021,39,1,2,0,0,267,0,0
36411,53,1,1,0,0,238,1,0
42644,60,5,1,1,0,938,0,0
35862,36,1,1,1,0,0,1,0
5867,41,9,1,1,0,457,1,1
10984,30,7,1,3,0,4471,1,0
40359,27,6,2,2,0,147,0,0
8419,42,7,1,1,0,3689,1,0
5433,31,1,2,1,0,-78,1,1
34643,39,1,2,1,0,290,1,0
88,46,4,0,1,0,16,1,1
8820,23,9,2,1,0,-306,1,0
19452,39,9,1,2,0,94,0,0
1172,31,9,2,2,0,703,1,0
14522,37,1,1,1,0,0,1,0
37002,27,9,1,1,0,31,0,0
44001,34,7,1,3,0,746,0,0
38270,26,10,2,1,0,130,1,0
30009,31,9,2,2,0,1320,0,0
19830,57,11,1,0,0,900,0,0
39548,44,4,1,2,0,2365,0,1
9357,44,0,1,1,0,248,0,0
15488,25,4,1,2,0,51,1,0
16919,31,1,1,1,0,-723,1,0
39933,52,4,1,2,0,0,0,0
31501,24,1,1,1,0,-220,1,0
30692,33,1,2,1,0,697,0,0
9465,36,9,1,1,0,22,0,0
16134,44,1,1,0,0,318,0,0
11149,46,4,2,2,0,46,0,1
44148,25,1,2,1,0,1857,1,0
2031,41,0,2,1,0,-256,0,1
36077,36,7,2,1,0,198,1,0
37431,41,6,1,1,0,305,1,0
43479,51,4,1,2,0,469,0,0
10874,38,1,1,1,0,5092,1,0
34315,49,10,1,1,0,207,0,0
40907,69,5,1,0,0,324,0,0
20998,41,4,1,2,0,1194,0,0
6348,35,7,2,1,0,-267,1,0
2853,40,1,1,0,0,7831,1,0
3630,31,9,2,2,0,56,0,0
42327,62,5,1,1,0,298,0,0
39633,56,7,0,0,0,23,0,0
39477,49,9,0,1,0,972,0,0
31953,41,1,1,1,0,-56,1,0
36228,42,1,1,1,0,1449,1,0
42728,33,0,2,2,0,0,0,0
8434,48,7,1,1,0,2877,1,0
36456,36,7,1,1,0,3064,1,0
29515,41,1,1,0,0,201,1,0
31382,37,0,2,1,0,127,0,0
5490,35,4,1,2,0,8,1,0
40881,28,10,2,1,0,16,0,0
16868,34,7,0,1,0,380,1,1
26823,50,4,1,2,0,719,0,1
22671,41,9,1,1,0,2039,0,0
35346,31,1,2,1,0,0,1,0
8871,47,1,1,0,0,554,1,0
23635,55,4,0,2,0,668,0,0
26825,44,4,1,2,1,53,1,0
35025,35,4,1,2,0,272,1,0
37150,48,7,2,0,0,-139,0,0
21792,58,5,1,3,0,0,0,0
31347,28,8,2,1,0,459,0,0
25140,48,4,1,2,0,-1080,1,1
5730,40,7,1,1,0,-342,1,0
26506,35,0,1,1,0,5250,1,0
13319,27,7,1,1,0,202,1,0
35129,38,4,2,2,0,104,1,0
8752,51,9,1,1,0,1446,1,0
37415,27,1,2,0,0,265,1,0
14738,42,1,0,1,0,667,1,0
44163,26,1,2,1,0,2007,0,0
11816,25,1,1,1,0,-306,1,0
15225,40,6,1,2,0,2977,1,0
14364,34,2,1,2,0,146,1,0
43884,59,1,1,1,0,448,0,0
12307,42,4,2,2,0,433,1,0
35226,26,4,2,2,0,114,1,0
24759,42,1,1,1,0,879,1,0
42318,56,4,1,0,0,870,0,0
37406,53,4,1,2,0,-1112,1,0
15403,51,7,1,1,0,0,0,0
27897,35,4,1,2,0,436,0,1
1575,36,1,1,1,0,406,1,0
23644,48,1,1,3,0,2499,0,0
20748,38,9,1,2,0,334,1,0
24601,58,4,1,2,0,1831,0,0
40094,24,8,2,1,0,1957,0,0
32808,55,4,1,1,0,566,1,0
39789,42,2,1,1,0,707,0,0
5493,41,9,1,2,0,-210,1,1
40031,25,1,2,1,0,389,0,0
23822,36,9,2,1,0,0,0,0
20616,52,7,1,1,0,1579,0,1
28945,33,0,2,1,0,79,0,0
11249,35,0,1,1,0,1476,0,0
40376,19,8,2,1,0,1803,0,0
24441,54,10,2,1,0,380,0,0
18647,49,9,0,1,0,2677,1,1
5164,25,7,2,1,0,-61,1,0
42731,74,5,1,1,0,935,0,0
34924,30,7,2,0,0,411,1,0
26939,47,9,1,2,1,-813,1,1
5931,28,9,2,2,0,1050,1,0
32730,29,4,1,2,0,760,0,1
2128,35,1,1,1,0,362,1,0
23056,53,4,1,2,0,0,0,0
22131,36,4,1,2,0,0,0,0
2525,40,4,1,2,0,373,1,1
6103,38,4,0,2,0,5455,1,0
11516,53,0,1,1,0,2955,0,0
4230,51,0,0,1,0,467,1,0
10027,45,3,1,1,0,513,0,0
31735,36,0,0,1,0,356,1,0
3315,56,5,1,1,0,344,1,0
9176,29,7,1,0,0,549,1,0
34610,37,7,0,1,0,731,1,0
28538,30,7,1,3,0,840,0,0
16101,57,7,0,1,0,14,0,1
29465,28,2,1,2,0,59,0,0
26378,56,9,0,2,0,401,1,0
23793,46,1,1,1,0,1673,1,0
1271,26,1,1,1,0,2770,1,0
21457,40,9,1,1,0,169,1,0
34145,33,1,2,1,0,498,0,0
4560,42,4,1,2,0,0,0,0
28744,45,0,0,1,0,440,0,0
14913,44,9,2,3,0,1431,0,0
37472,42,4,1,2,0,1162,1,0
21797,55,9,0,1,0,852,0,0
19705,32,4,2,2,0,474,1,0
30069,28,2,2,2,0,95,0,0
31858,25,0,2,2,0,1420,0,0
23795,51,1,1,0,0,21614,0,0
33232,48,4,1,2,0,161,1,0
4228,52,6,1,1,0,6353,1,1
4948,36,1,1,0,0,599,1,0
20963,40,3,1,1,0,864,0,0
27606,46,9,1,1,0,15120,0,0
41944,54,0,1,1,0,0,0,0
44062,34,6,2,2,0,0,1,0
32767,35,4,1,2,0,3217,1,1
6121,35,1,1,1,0,-185,1,1
24843,37,9,1,1,0,0,1,0
27896,48,9,1,1,0,340,1,0
31502,50,4,0,2,0,405,0,0
25699,33,4,2,2,0,201,1,0
35837,49,1,1,1,0,863,1,1
3497,60,7,2,0,0,313,1,0
8066,35,4,1,1,0,1825,1,0
3933,41,1,1,0,0,208,1,0
41993,22,8,2,1,0,23,0,0
1929,39,2,1,2,0,338,1,0
15522,31,1,0,1,0,0,1,1
36111,28,9,2,1,0,389,1,0
11896,35,6,1,1,0,273,0,0
9079,60,4,1,2,0,13360,0,1
36630,29,1,1,0,0,7,1,0
5055,30,9,2,2,0,1289,1,0
13111,25,1,1,1,0,101,0,1
21232,60,5,1,1,0,7,0,1
35628,40,0,0,1,0,-607,1,0
10419,60,3,1,0,0,517,0,0
34198,31,7,2,1,0,125,0,0
12482,29,9,1,2,0,975,0,0
16874,56,4,1,3,0,353,0,1
42997,28,1,1,1,0,61,1,0
42961,35,0,2,1,0,-32,0,1
10375,56,6,1,1,0,1113,0,0
30001,38,10,1,2,0,201,0,0
6626,26,4,2,2,0,6840,1,0
1325,44,1,1,1,1,-617,1,0
32562,35,1,1,1,0,0,1,0
27185,53,2,1,3,0,352,0,0
25992,37,7,1,0,1,-483,1,1
13086,46,4,2,2,0,3,0,0
22251,37,6,1,1,0,744,1,1
34256,34,4,2,2,0,2187,1,0
36294,41,3,1,1,0,81,1,0
3890,56,5,1,3,0,4391,1,0
17533,48,1,1,1,0,0,0,0
33169,43,0,1,1,0,1220,1,0
10942,36,1,0,0,0,553,0,0
888,32,4,1,2,0,233,1,0
13428,26,7,1,1,0,25,0,0
10039,54,5,1,1,0,1851,0,0
19933,43,0,1,1,0,324,0,0
13814,52,7,1,1,0,2072,0,0
30710,57,0,0,1,1,-435,1,1
13271,52,0,1,1,0,350,0,1
36441,42,9,1,1,0,83,1,1
20544,54,4,1,2,0,1411,0,0
44092,48,4,2,2,0,159,0,0
13637,37,9,1,2,0,512,0,0
22654,36,4,1,2,0,591,1,0
5044,57,1,1,0,0,42,1,0
12428,38,1,2,0,0,116,0,1
5436,31,10,2,2,0,1611,1,0
13120,34,0,2,2,0,-199,0,1
11899,37,1,2,1,0,3876,0,0
15357,29,2,1,1,1,-388,1,0
4691,27,1,2,3,0,89,1,0
10254,40,7,2,1,0,316,0,0
22068,54,3,1,3,0,909,0,0
18768,54,4,1,3,0,24,0,0
5669,30,9,1,2,0,541,1,0
30264,71,5,1,2,0,2651,0,0
8982,39,0,1,1,0,835,1,0
43790,56,4,1,2,0,12356,1,0
29246,29,1,1,1,0,1074,0,0
9507,35,7,2,1,0,-2,0,0
15106,60,5,0,2,0,129,0,0
26640,30,6,2,2,0,1259,0,0
42383,25,8,2,1,0,304,0,0
5638,53,1,1,0,0,3316,1,0
15330,30,4,1,2,0,593,1,1
8476,31,1,1,0,0,746,1,1
39260,40,4,0,2,0,-75,1,0
24433,38,2,1,2,0,0,1,0
12314,37,6,2,2,0,3759,0,0
26674,46,0,0,1,0,2087,0,0
24624,57,9,1,1,0,1158,0,0
32781,44,4,2,2,0,1277,1,0
16074,32,0,1,1,0,57,0,1
6555,55,4,1,2,0,10065,0,0
10165,36,4,2,2,0,0,0,0
24824,54,9,1,1,0,13,1,0
7915,55,9,0,2,0,264,1,0
28348,44,4,1,2,0,149,1,0
7226,41,4,1,1,0,689,1,0
4926,38,1,2,0,0,350,1,0
9890,58,4,1,1,0,835,0,0
22830,30,4,1,2,0,4874,1,0
21284,37,6,1,1,0,3396,0,0
26687,50,9,1,2,0,3117,0,0
7421,25,1,2,1,0,1429,1,0
12401,24,7,2,1,0,11,1,0
23699,30,9,1,2,0,81,0,0
17976,51,1,0,0,0,837,0,0
10293,37,7,1,0,0,0,1,1
35789,46,1,2,1,0,-100,1,0
7496,34,1,1,0,0,425,1,0
43449,62,5,1,1,0,2917,0,0
24668,40,0,1,1,0,1565,1,1
41645,36,0,1,2,0,1145,1,0
2852,37,1,1,1,0,15801,1,0
20557,43,3,1,0,0,25,0,0
5319,42,7,1,0,0,2557,1,0
21023,33,9,2,2,0,0,0,0
36575,40,1,1,1,0,1808,1,0
25127,40,6,1,1,0,1216,1,0
40673,44,0,1,1,0,0,1,0
29940,39,0,2,1,0,223,0,0
34221,26,7,2,1,0,256,1,0
34355,51,9,2,2,0,318,0,0
36598,40,2,1,2,0,1729,1,0
21102,32,4,2,2,0,1512,0,1
16579,53,4,1,2,0,1102,0,0
38308,38,1,2,0,0,1583,1,0
13644,52,3,1,0,0,0,0,1
20112,56,4,1,2,0,705,0,1
14673,32,1,0,0,0,142,1,0
44598,29,0,1,1,0,1937,0,0
43432,43,9,0,3,0,4389,0,0
11642,41,0,1,1,0,4178,0,0
45045,26,8,2,1,0,316,0,0
30766,29,1,0,0,0,2,1,0
10514,59,1,1,1,1,-918,1,0
11852,40,1,1,0,0,0,0,0
5255,32,9,1,2,0,1129,1,0
29080,53,4,1,1,0,478,1,0
12049,49,9,1,2,0,6138,0,0
28242,29,1,2,2,0,251,0,0
9133,53,7,0,0,0,3107,0,0
16996,39,3,1,1,0,1444,0,0
32029,59,9,1,1,0,0,1,0
21843,52,6,1,1,0,-163,1,0
8212,45,1,0,0,0,6,1,0
37420,25,1,2,0,0,-289,1,0
7662,36,1,1,0,0,243,1,1
16484,40,1,2,1,1,61,0,0
24492,38,4,1,2,0,425,1,0
25505,31,6,2,3,0,7118,1,0
41887,30,10,1,0,0,1787,0,0
42138,29,9,2,1,0,938,0,0
14495,38,0,1,1,0,-295,0,0
23828,45,4,1,2,0,1186,0,0
6592,29,1,1,0,0,1615,1,0
34894,33,1,1,1,0,0,1,1
18465,39,4,1,2,0,55,0,0
9586,29,1,1,1,0,87,1,0
45084,29,1,2,2,0,455,0,0
1613,47,0,0,1,0,162,1,0
21079,55,1,1,3,0,213,0,0
12698,59,4,1,3,0,147,0,0
32650,43,0,1,1,0,316,1,0
1255,43,7,0,1,0,130,1,0
27319,54,2,0,2,0,5784,0,0
5642,37,1,1,1,0,152,1,0
45032,29,1,2,1,0,2806,0,0
25390,32,9,2,2,0,4432,0,0
9806,38,4,2,1,0,53,0,0
41503,30,1,2,1,0,161,0,1
19219,39,4,1,2,0,1836,0,0
22845,33,4,1,2,0,130,0,0
24063,40,9,1,1,0,1159,0,0
36609,48,7,0,1,0,-361,1,0
31627,38,9,1,2,0,1997,1,0
35532,33,9,2,1,0,5214,1,0
17762,58,0,1,1,0,145,1,0
1371,31,7,1,1,0,28,1,0
29832,31,10,2,0,0,406,0,0
33950,27,9,2,2,0,4003,0,0
6303,33,1,1,2,0,22,1,0
40453,54,0,1,1,0,1633,0,0
6568,34,1,1,0,0,100,1,1
15371,43,9,2,2,0,317,1,0
6218,36,2,1,2,0,271,1,0
18045,59,5,1,1,0,3414,0,0
43413,50,4,1,2,0,5108,1,0
5948,46,9,1,3,0,626,1,0
11613,61,11,1,2,0,50,0,0
44279,82,5,1,0,0,243,0,0
21413,45,9,1,1,0,-374,0,1
18142,57,7,0,1,0,4664,0,0
24479,44,4,2,2,0,300,1,0
38216,27,4,2,2,0,212,1,0
21664,45,1,1,0,0,487,1,0
3050,43,7,1,1,0,823,1,0
6531,31,1,1,1,0,77,1,0
40993,66,3,0,0,0,204,0,0
23969,46,9,0,1,0,117,0,0
29078,38,0,1,1,0,-500,0,1
11574,39,1,2,1,0,1986,0,1
33627,37,1,2,1,0,2390,1,0
29450,46,1,1,1,0,1232,0,1
24534,52,4,1,2,0,4504,1,0
14616,34,7,1,1,0,29,1,0
21221,32,9,2,2,0,3818,0,0
12355,25,1,2,0,0,6100,1,0
848,56,1,1,1,0,-203,1,0
32017,39,7,1,1,0,554,1,0
7443,41,1,1,1,0,51,1,0
17540,59,0,0,0,0,0,1,0
21604,58,0,1,0,0,0,0,0
22060,37,4,2,2,0,0,0,0
5420,31,4,2,2,0,-26,1,1
39312,29,1,2,1,0,1472,0,0
27877,45,4,1,1,0,0,1,1
13243,29,7,2,1,0,9,0,1
18780,58,10,1,0,0,1183,0,0
10356,39,1,1,0,0,292,0,0
18268,34,4,1,2,0,82,0,0
344,34,4,1,2,0,46,1,0
42963,53,0,1,1,0,10541,0,0
32860,40,1,1,0,0,1802,1,0
43797,66,4,1,3,0,2149,1,0
35017,33,1,1,0,0,289,1,0
43079,22,8,2,3,0,1215,0,0
42864,68,5,1,2,0,2812,0,0
29736,41,10,1,1,0,2423,1,0
19403,53,9,1,1,0,1225,0,0
12972,35,4,1,2,0,126,0,1
41632,61,10,1,0,0,1,0,0
43881,23,8,2,2,0,508,0,0
22144,45,1,1,0,0,1251,0,1
42391,31,9,1,1,0,318,0,0
8863,29,1,1,0,0,25,1,0
10804,49,7,1,1,0,494,0,0
4573,54,7,0,3,0,2177,0,0
12284,57,9,2,2,0,711,0,0
35358,45,3,1,2,0,0,1,0
34330,55,9,2,1,0,1199,0,1
27929,50,1,1,1,0,253,0,0
36831,44,4,1,2,0,870,1,1
17350,50,0,1,1,0,546,0,0
12051,49,1,1,0,0,4134,0,0
32958,29,1,2,1,0,1446,1,0
4247,23,4,2,1,0,85,1,0
16168,37,0,1,1,0,1396,1,0
17798,40,3,1,0,0,224,1,0
14388,45,9,1,1,0,144,1,1
32497,50,0,0,1,0,1111,1,0
40574,59,1,0,0,0,989,0,0
29846,31,6,1,2,0,168,0,0
25928,43,9,1,0,0,4844,1,0
8969,36,0,2,1,0,135,0,0
39723,52,9,1,1,0,196,1,1
36423,42,1,1,0,0,869,1,1
3303,30,1,1,1,0,2,1,0
2781,42,4,1,2,0,1093,1,0
23885,55,4,2,2,0,430,0,0
37421,57,7,2,0,0,3777,1,0
34929,42,1,2,0,0,-95,1,0
19528,50,1,1,1,0,-54,1,0
21474,42,4,1,2,0,3038,0,0
33450,29,7,1,1,0,368,1,0
23914,38,9,2,1,0,173,0,0
1848,38,9,1,1,1,9,1,0
17824,54,7,1,1,0,2681,0,0
33663,50,1,1,0,0,3924,1,0
33552,28,1,1,1,0,1687,1,0
45063,75,5,1,2,0,4912,0,0
11343,42,1,1,0,0,-303,1,0
38841,24,9,2,1,0,81,1,0
2857,42,0,0,1,0,1076,1,0
31950,29,1,1,0,0,18,1,0
9869,38,9,2,2,0,1619,0,0
8681,27,9,2,1,0,3,0,0
3722,56,4,0,2,0,975,1,0
1173,39,1,1,0,0,70,0,0
8388,41,1,1,1,0,-256,1,0
31127,39,4,2,2,0,0,1,0
37485,30,1,2,0,0,17,1,0
40663,21,8,2,1,0,491,0,0
41357,55,4,1,3,0,1504,1,0
14487,33,0,1,1,0,1114,1,0
17897,44,1,1,1,0,0,0,0
32018,32,7,2,1,0,758,1,0
12476,45,10,0,0,1,-249,1,1
30975,31,4,2,2,0,153,0,0
43431,78,5,0,0,0,1389,0,0
2706,46,0,0,2,0,3749,1,0
21956,39,4,1,2,0,224,0,0
33226,42,1,1,2,0,1993,1,0
17340,32,0,1,1,0,2468,1,1
3304,57,2,1,1,0,1037,1,1
40275,25,7,2,1,0,505,0,0
43193,25,8,2,1,0,154,0,0
22186,39,9,1,1,0,564,0,0
30623,31,1,2,1,0,-538,0,1
20654,45,4,1,1,0,424,1,1
39105,30,1,2,3,0,694,1,1
39469,34,3,1,2,0,11219,0,0
44844,23,9,2,1,0,283,1,0
25306,31,9,0,1,0,0,1,0
43627,37,4,1,1,0,565,0,0
12647,50,4,1,2,0,453,0,1
9430,50,1,1,0,0,746,1,0
1973,53,4,0,2,0,0,0,0
